1034|DAILY_DUMP - Master and dictionary Detail|124|2|1|1|java:global/EnhancesysManagement/IntegrationServices/GenericDailyDump!com.enhancesys.integration.services.interfaces.processor.PullFromMongo||NULL|now
1035|DAILY_DUMP - NodeId_to_territory_map|125|2|1|1|java:global/EnhancesysManagement/IntegrationServices/GenericDailyDump!com.enhancesys.integration.services.interfaces.processor.PullFromMongo||NULL|now
1036|DAILY_DUMP - Stock Organization Summary|126|2|1|1|java:global/EnhancesysManagement/IntegrationServices/GenericDailyDump!com.enhancesys.integration.services.interfaces.processor.PullFromMongo||NULL|now
1037|DAILY_DUMP - Product Extend Expired Date|127|2|1|1|java:global/EnhancesysManagement/IntegrationServices/GenericDailyDump!com.enhancesys.integration.services.interfaces.processor.PullFromMongo||NULL|now
1038|DAILY_DUMP - User Registration Detail|128|2|1|1|java:global/EnhancesysManagement/IntegrationServices/GenericDailyDump!com.enhancesys.integration.services.interfaces.processor.PullFromMongo||NULL|now
1039|DAILY_DUMP - Survey Detail Report|129|2|1|1|java:global/EnhancesysManagement/IntegrationServices/GenericDailyDump!com.enhancesys.integration.services.interfaces.processor.PullFromMongo||NULL|now
1040|INTRAFMS002 & DAILY_DUMP - Organization mapping to user Detail|130|2|1|1|java:global/EnhancesysManagement/IntegrationServices/GenericDailyDump!com.enhancesys.integration.services.interfaces.processor.PullFromMongo||NULL|now
1041|DAILY_DUMP - Internal Sales Detail Activity|131|2|1|1|java:global/EnhancesysManagement/IntegrationServices/GenericDailyDump!com.enhancesys.integration.services.interfaces.processor.PullFromMongo||NULL|now
1042|DAILY_DUMP - Snapshot HotSpot Detail|132|2|1|1|java:global/EnhancesysManagement/IntegrationServices/GenericDailyDump!com.enhancesys.integration.services.interfaces.processor.PullFromMongo||NULL|now
1043|DAILY_DUMP - Foss/StockEntry Detail|133|2|1|1|java:global/EnhancesysManagement/IntegrationServices/GenericDailyDump!com.enhancesys.integration.services.interfaces.processor.PullFromMongo||NULL|now
1044|DAILY_DUMP - Physical Distribution Detail|134|2|1|1|java:global/EnhancesysManagement/IntegrationServices/GenericDailyDump!com.enhancesys.integration.services.interfaces.processor.PullFromMongo||NULL|now
1045|INTRAFMS005 & DAILY_DUMP - Sellout transaction Detail|135|2|1|1|java:global/EnhancesysManagement/IntegrationServices/GenericDailyDump!com.enhancesys.integration.services.interfaces.processor.PullFromMongo||NULL|now
1046|DAILY_DUMP - Stock Adjustment Detail|136|2|1|1|java:global/EnhancesysManagement/IntegrationServices/GenericDailyDump!com.enhancesys.integration.services.interfaces.processor.PullFromMongo||NULL|now
1047|DAILY_DUMP - Stock Expired Date Detail|137|2|1|1|java:global/EnhancesysManagement/IntegrationServices/GenericDailyDump!com.enhancesys.integration.services.interfaces.processor.PullFromMongo||NULL|now
1048|DAILY_DUMP - Activation Detail|138|2|1|1|java:global/EnhancesysManagement/IntegrationServices/GenericDailyDump!com.enhancesys.integration.services.interfaces.processor.PullFromMongo||NULL|now
1049|INTDW017 - Transactions Details|139|2|1|1|java:global/EnhancesysManagement/IntegrationServices/OutletTransactionsDataDump!com.enhancesys.integration.services.interfaces.processor.PullDataToFile||NULL|now
1050|INTRAFMS004 & DAILY_DUMP - Organization Stock Detail|140|2|1|1|java:global/EnhancesysManagement/IntegrationServices/GenericDailyDump!com.enhancesys.integration.services.interfaces.processor.PullFromMongo||NULL|now
1051|INTSM021 - Voucher Injection|141|2|2|1|java:global/EnhancesysManagement/IntegrationServices/CSVtoJSONConverter!com.enhancesys.integration.services.interfaces.converter.DataConverter|java:global/EnhancesysManagement/IntegrationPublishers/WebServicePublisher!com.enhancesys.integration.services.interfaces.publisher.DataPublisher|NULL|now
1052|DAILY_DUMP - Snapshot Organization Stock Detail|159|2|1|1|java:global/EnhancesysManagement/IntegrationServices/GenericDailyDump!com.enhancesys.integration.services.interfaces.processor.PullFromMongo||NULL|now
1053|INTDW003 - Voucher Redemption|142|2|2|1|java:global/EnhancesysManagement/IntegrationServices/CSVtoJSONConverter!com.enhancesys.integration.services.interfaces.converter.DataConverter|java:global/EnhancesysManagement/IntegrationPublishers/WebServicePublisher!com.enhancesys.integration.services.interfaces.publisher.DataPublisher|NULL|now
1054|INTDW003 - Voucher Redemption|142|3|1|1|java:global/EnhancesysManagement/IntegrationServices/CSVtoJSONConverter!com.enhancesys.integration.services.interfaces.converter.DataConverter|java:global/EnhancesysManagement/IntegrationPublishers/WebServicePublisher!com.enhancesys.integration.services.interfaces.publisher.DataPublisher|NULL|now
1055|DAILY_DUMP - Sozialition Details|143|2|1|1|java:global/EnhancesysManagement/IntegrationServices/GenericDailyDump!com.enhancesys.integration.services.interfaces.processor.PullFromMongo||NULL|now
1056|DAILY_DUMP - Attendance Details|144|2|1|1|java:global/EnhancesysManagement/IntegrationServices/GenericDailyDump!com.enhancesys.integration.services.interfaces.processor.PullFromMongo||NULL|now
1057|DAILY_DUMP - VC Data Detail Dist|145|2|1|1|java:global/EnhancesysManagement/IntegrationServices/GenericDailyDump!com.enhancesys.integration.services.interfaces.processor.PullFromMongo||NULL|now
1058|DAILY_DUMP - VC Data Injected|146|2|1|1|java:global/EnhancesysManagement/IntegrationServices/GenericDailyDump!com.enhancesys.integration.services.interfaces.processor.PullFromMongo||NULL|now
1059|DAILY_DUMP - VC Data Redeem Detail|147|2|1|1|java:global/EnhancesysManagement/IntegrationServices/GenericDailyDump!com.enhancesys.integration.services.interfaces.processor.PullFromMongo||NULL|now
1060|DAILY_DUMP - VC Data Tracking Detail|148|2|1|1|java:global/EnhancesysManagement/IntegrationServices/GenericDailyDump!com.enhancesys.integration.services.interfaces.processor.PullFromMongo||NULL|now
1061|INTSM020 - Organization Stock Detail|149|2|1|1|java:global/EnhancesysManagement/IntegrationServices/GenericDailyDump!com.enhancesys.integration.services.interfaces.processor.PullFromMongo||NULL|now
1062|INTNDB001 - LACCI Data|150|2|2|1|java:global/EnhancesysManagement/IntegrationServices/CSVtoJSONConverter!com.enhancesys.integration.services.interfaces.converter.DataConverter|java:global/EnhancesysManagement/IntegrationPublishers/WebServicePublisher!com.enhancesys.integration.services.interfaces.publisher.DataPublisher|NULL|now
1063|INTNDB001 - LACCI Data|150|3|1|1|java:global/EnhancesysManagement/IntegrationServices/CSVtoJSONConverter!com.enhancesys.integration.services.interfaces.converter.DataConverter|java:global/EnhancesysManagement/IntegrationPublishers/WebServicePublisher!com.enhancesys.integration.services.interfaces.publisher.DataPublisher|NULL|now
1064|INTSM023 - Org To Org Transfer|151|2|2|1|java:global/EnhancesysManagement/IntegrationServices/CSVtoJSONConverter!com.enhancesys.integration.services.interfaces.converter.DataConverter|java:global/EnhancesysManagement/IntegrationPublishers/WebServicePublisher!com.enhancesys.integration.services.interfaces.publisher.DataPublisher|NULL|now
